GO_ID	Group	Description	FDR	Enrichment
GO:0043604	wdr77_up	amide biosynthetic process	0.00669	1.44
GO:0051985	wdr77_up	negative regulation of chromosome segregation	0.00672	2.45
GO:0034329	wdr77_up	cell junction assembly	0.00671	1.68
GO:0030833	wdr77_up	regulation of actin filament polymerization	0.00668	1.68
GO:0034644	wdr77_up	cellular response to UV	0.00668	1.93
GO:0051653	wdr77_up	spindle localization	0.00672	2.22
GO:0051248	wdr77_up	negative regulation of protein metabolic process	0.00682	1.25
GO:0051496	wdr77_up	positive regulation of stress fiber assembly	0.00682	2.27
GO:0002181	wdr77_up	cytoplasmic translation	0.00685	2.32
GO:0006325	wdr77_up	chromatin organization	0.00684	1.29
GO:0032231	wdr77_up	regulation of actin filament bundle assembly	0.00698	1.88
GO:0002252	wdr77_up	immune effector process	0.00699	1.28
GO:0048534	wdr77_up	hematopoietic or lymphoid organ development	0.00732	1.69
GO:0051383	wdr77_up	kinetochore organization	0.00743	3.08
GO:0044093	wdr77_up	positive regulation of molecular function	0.0075	1.19
GO:0019220	wdr77_up	regulation of phosphate metabolic process	0.00794	1.19
GO:0051174	wdr77_up	regulation of phosphorus metabolic process	0.00791	1.19
GO:0043086	wdr77_up	negative regulation of catalytic activity	0.00803	1.31
GO:0001932	wdr77_up	regulation of protein phosphorylation	0.00812	1.22
GO:0010648	wdr77_up	negative regulation of cell communication	0.00844	1.22
GO:0044249	wdr77_up	cellular biosynthetic process	0.00845	1.15
GO:0001934	wdr77_up	positive regulation of protein phosphorylation	0.00858	1.27
GO:0051492	wdr77_up	regulation of stress fiber assembly	0.00918	1.92
GO:0010721	wdr77_up	negative regulation of cell development	0.00922	1.51
GO:0033048	wdr77_up	negative regulation of mitotic sister chromatid segregation	0.00945	2.46
GO:0023057	wdr77_up	negative regulation of signaling	0.00943	1.21
GO:0042326	wdr77_up	negative regulation of phosphorylation	0.00956	1.38
GO:0040013	wdr77_up	negative regulation of locomotion	0.00982	1.49
GO:0014066	wdr77_up	regulation of phosphatidylinositol 3-kinase signaling	0.00985	1.83
GO:0090066	wdr77_up	regulation of anatomical structure size	0.00986	1.43
GO:0009058	wdr77_up	biosynthetic process	0.00985	1.15
GO:0044092	wdr77_up	negative regulation of molecular function	0.00992	1.25
GO:0010738	wdr77_up	regulation of protein kinase A signaling	0.00992	3.17
GO:0030198	wdr77_up	extracellular matrix organization	0.0101	1.51
GO:2001242	wdr77_up	regulation of intrinsic apoptotic signaling pathway	0.0101	1.66
GO:0000377	wdr77_up	RNA splicing, via transesterification reactions with bulged adenosine as nucleophile	0.0102	1.46
GO:0000398	wdr77_up	mRNA splicing, via spliceosome	0.0102	1.46
GO:1901576	wdr77_up	organic substance biosynthetic process	0.0103	1.15
GO:0010941	wdr77_up	regulation of cell death	0.0103	1.19
GO:0071482	wdr77_up	cellular response to light stimulus	0.0106	1.83
GO:0032273	wdr77_up	positive regulation of protein polymerization	0.0107	1.8
GO:0045934	wdr77_up	negative regulation of nucleobase-containing compound metabolic process	0.0108	1.19
GO:0044271	wdr77_up	cellular nitrogen compound biosynthetic process	0.0113	1.19
GO:0000375	wdr77_up	RNA splicing, via transesterification reactions	0.0115	1.45
GO:0033045	wdr77_up	regulation of sister chromatid segregation	0.0117	1.84
GO:0051345	wdr77_up	positive regulation of hydrolase activity	0.0121	1.29
GO:0044087	wdr77_up	regulation of cellular component biogenesis	0.0126	1.24
GO:0072331	wdr77_up	signal transduction by p53 class mediator	0.0128	1.72
GO:0009653	wdr77_up	anatomical structure morphogenesis	0.0128	1.22
GO:0070727	wdr77_up	cellular macromolecule localization	0.0128	1.22
GO:0006793	wdr77_up	phosphorus metabolic process	0.013	1.16
GO:0034097	wdr77_up	response to cytokine	0.0131	1.35
GO:0051294	wdr77_up	establishment of spindle orientation	0.0132	2.46
GO:0007173	wdr77_up	epidermal growth factor receptor signaling pathway	0.0131	2.2
GO:0051293	wdr77_up	establishment of spindle localization	0.0131	2.2
GO:0098609	wdr77_up	cell-cell adhesion	0.0131	1.41
GO:0034613	wdr77_up	cellular protein localization	0.0131	1.22
GO:2000146	wdr77_up	negative regulation of cell motility	0.0131	1.52
GO:0002433	wdr77_up	immune response-regulating cell surface receptor signaling pathway involved in phagocytosis	0.0131	2
GO:0038096	wdr77_up	Fc-gamma receptor signaling pathway involved in phagocytosis	0.013	2
GO:0038094	wdr77_up	Fc-gamma receptor signaling pathway	0.013	2
GO:1901701	wdr77_up	cellular response to oxygen-containing compound	0.0136	1.28
GO:0030336	wdr77_up	negative regulation of cell migration	0.0139	1.53
GO:0032535	wdr77_up	regulation of cellular component size	0.0145	1.48
GO:0033365	wdr77_up	protein localization to organelle	0.0148	1.28
GO:0000086	wdr77_up	G2/M transition of mitotic cell cycle	0.0153	1.64
GO:0034728	wdr77_up	nucleosome organization	0.0157	1.6
GO:0030832	wdr77_up	regulation of actin filament length	0.0157	1.6
GO:0043408	wdr77_up	regulation of MAPK cascade	0.0157	1.3
GO:0010557	wdr77_up	positive regulation of macromolecule biosynthetic process	0.0158	1.17
GO:0008284	wdr77_up	positive regulation of cell proliferation	0.016	1.28
GO:0043410	wdr77_up	positive regulation of MAPK cascade	0.0165	1.36
GO:0051649	wdr77_up	establishment of localization in cell	0.0165	1.17
GO:0038065	wdr77_up	collagen-activated signaling pathway	0.0165	3.46
GO:0002431	wdr77_up	Fc receptor mediated stimulatory signaling pathway	0.0169	1.97
GO:0038127	wdr77_up	ERBB signaling pathway	0.0169	1.97
GO:0051726	wdr77_up	regulation of cell cycle	0.0174	1.2
GO:0071173	wdr77_up	spindle assembly checkpoint	0.0174	2.58
GO:0071174	wdr77_up	mitotic spindle checkpoint	0.0173	2.58
GO:0007094	wdr77_up	mitotic spindle assembly checkpoint	0.0173	2.58
GO:0022607	wdr77_up	cellular component assembly	0.0184	1.14
GO:0043062	wdr77_up	extracellular structure organization	0.019	1.45
GO:0040001	wdr77_up	establishment of mitotic spindle localization	0.0191	2.38
GO:0030029	wdr77_up	actin filament-based process	0.0191	1.38
GO:0050932	wdr77_up	regulation of pigment cell differentiation	0.0193	4.76
GO:0030036	wdr77_up	actin cytoskeleton organization	0.0194	1.42
GO:0007163	wdr77_up	establishment or maintenance of cell polarity	0.0198	1.62
GO:0044270	wdr77_up	cellular nitrogen compound catabolic process	0.02	1.34
GO:0038063	wdr77_up	collagen-activated tyrosine kinase receptor signaling pathway	0.0202	3.7
GO:1902533	wdr77_up	positive regulation of intracellular signal transduction	0.0202	1.24
GO:0051783	wdr77_up	regulation of nuclear division	0.0203	1.55
GO:0044839	wdr77_up	cell cycle G2/M phase transition	0.0206	1.61
GO:0000910	wdr77_up	cytokinesis	0.0206	1.86
GO:0061640	wdr77_up	cytoskeleton-dependent cytokinesis	0.0205	1.86
GO:0006796	wdr77_up	phosphate-containing compound metabolic process	0.0206	1.15
GO:0051254	wdr77_up	positive regulation of RNA metabolic process	0.0207	1.17
GO:1900024	wdr77_up	regulation of substrate adhesion-dependent cell spreading	0.0207	2.04
GO:0007346	wdr77_up	regulation of mitotic cell cycle	0.0215	1.28
GO:0007049	wdr77_up	cell cycle	0.0217	1.34
GO:0033622	wdr77_up	integrin activation	0.0222	4.08
GO:0060396	wdr77_up	growth hormone receptor signaling pathway	0.0221	4.08
GO:0008064	wdr77_up	regulation of actin polymerization or depolymerization	0.023	1.57
GO:0002313	wdr77_up	mature B cell differentiation involved in immune response	0.025	3.06
GO:0098813	wdr77_up	nuclear chromosome segregation	0.0251	2.14
GO:0046700	wdr77_up	heterocycle catabolic process	0.0258	1.33
GO:0051347	wdr77_up	positive regulation of transferase activity	0.0257	1.28
GO:0043066	wdr77_up	negative regulation of apoptotic process	0.0263	1.25
GO:0000132	wdr77_up	establishment of mitotic spindle orientation	0.0266	2.47
GO:0031577	wdr77_up	spindle checkpoint	0.0265	2.47
GO:0006468	wdr77_up	protein phosphorylation	0.0267	1.24
GO:0032989	wdr77_up	cellular component morphogenesis	0.027	1.36
GO:0031328	wdr77_up	positive regulation of cellular biosynthetic process	0.0276	1.16
GO:0048731	wdr77_up	system development	0.0281	1.29
GO:0044267	wdr77_up	cellular protein metabolic process	0.0282	1.11
GO:0071824	wdr77_up	protein-DNA complex subunit organization	0.0282	1.45
GO:0048584	wdr77_up	positive regulation of response to stimulus	0.0285	1.15
GO:0051348	wdr77_up	negative regulation of transferase activity	0.0289	1.43
GO:0006334	wdr77_up	nucleosome assembly	0.029	1.64
GO:0031331	wdr77_up	positive regulation of cellular catabolic process	0.0291	1.35
GO:0030837	wdr77_up	negative regulation of actin filament polymerization	0.0292	2.02
GO:0050768	wdr77_up	negative regulation of neurogenesis	0.0293	1.48
GO:0010634	wdr77_up	positive regulation of epithelial cell migration	0.0297	1.6
GO:0048646	wdr77_up	anatomical structure formation involved in morphogenesis	0.0298	1.29
GO:0051234	wdr77_up	establishment of localization	0.0306	1.1
GO:0043603	wdr77_up	cellular amide metabolic process	0.0306	1.28
GO:0002335	wdr77_up	mature B cell differentiation	0.0309	2.8
GO:0006418	wdr77_up	tRNA aminoacylation for protein translation	0.0311	2.05
GO:0001933	wdr77_up	negative regulation of protein phosphorylation	0.0312	1.35
GO:2001243	wdr77_up	negative regulation of intrinsic apoptotic signaling pathway	0.0311	1.77
GO:0110020	wdr77_up	regulation of actomyosin structure organization	0.0311	1.77
GO:0051225	wdr77_up	spindle assembly	0.0311	1.81
GO:0021987	wdr77_up	cerebral cortex development	0.0318	1.94
GO:0009891	wdr77_up	positive regulation of biosynthetic process	0.0319	1.15
GO:0010720	wdr77_up	positive regulation of cell development	0.0323	1.32
GO:0010594	wdr77_up	regulation of endothelial cell migration	0.0326	1.56
GO:0051129	wdr77_up	negative regulation of cellular component organization	0.0327	1.25
GO:0043933	wdr77_up	protein-containing complex subunit organization	0.0328	1.16
GO:0007019	wdr77_up	microtubule depolymerization	0.0331	3.17
GO:0051149	wdr77_up	positive regulation of muscle cell differentiation	0.0333	1.87
GO:0051056	wdr77_up	regulation of small GTPase mediated signal transduction	0.0347	1.39
GO:1901342	wdr77_up	regulation of vasculature development	0.0349	1.42
GO:0045665	wdr77_up	negative regulation of neuron differentiation	0.0363	1.52
GO:0001501	wdr77_up	skeletal system development	0.0378	1.67
GO:1902229	wdr77_up	regulation of intrinsic apoptotic signaling pathway in response to DNA damage	0.0378	2.23
GO:0033628	wdr77_up	regulation of cell adhesion mediated by integrin	0.0377	2.23
GO:0033674	wdr77_up	positive regulation of kinase activity	0.0377	1.29
GO:0023056	wdr77_up	positive regulation of signaling	0.0379	1.16
GO:0070507	wdr77_up	regulation of microtubule cytoskeleton organization	0.0382	1.5
GO:1902253	wdr77_up	regulation of intrinsic apoptotic signaling pathway by p53 class mediator	0.0382	2.38
GO:0071392	wdr77_up	cellular response to estradiol stimulus	0.0381	2.38
GO:0031116	wdr77_up	positive regulation of microtubule polymerization	0.038	2.38
GO:0031294	wdr77_up	lymphocyte costimulation	0.0379	2.3
GO:0000070	wdr77_up	mitotic sister chromatid segregation	0.0378	2.3
GO:0045859	wdr77_up	regulation of protein kinase activity	0.0379	1.25
GO:0016126	wdr77_down	sterol biosynthetic process	2.27e-7	3.48
GO:0006695	wdr77_down	cholesterol biosynthetic process	1.39e-6	3.41
GO:1902653	wdr77_down	secondary alcohol biosynthetic process	9.27e-7	3.41
GO:0016125	wdr77_down	sterol metabolic process	7.65e-6	2.31
GO:0008203	wdr77_down	cholesterol metabolic process	2.2e-5	2.33
GO:1902652	wdr77_down	secondary alcohol metabolic process	4.33e-5	2.28
GO:0010243	wdr77_down	response to organonitrogen compound	4.6e-4	1.41
GO:0042221	wdr77_down	response to chemical	5.09e-4	1.21
GO:0008202	wdr77_down	steroid metabolic process	5.43e-4	1.81
GO:0006694	wdr77_down	steroid biosynthetic process	6.96e-4	2.16
GO:0006508	wdr77_down	proteolysis	6.55e-4	1.31
GO:0034976	wdr77_down	response to endoplasmic reticulum stress	6.26e-4	1.68
GO:1901698	wdr77_down	response to nitrogen compound	6.14e-4	1.38
GO:0006810	wdr77_down	transport	8.98e-4	1.15
GO:0046165	wdr77_down	alcohol biosynthetic process	0.00146	2.1
GO:0000041	wdr77_down	transition metal ion transport	0.00146	2.12
GO:0046890	wdr77_down	regulation of lipid biosynthetic process	0.00204	1.78
GO:1901617	wdr77_down	organic hydroxy compound biosynthetic process	0.00203	1.88
GO:0010033	wdr77_down	response to organic substance	0.00217	1.22
GO:0051716	wdr77_down	cellular response to stimulus	0.00232	1.17
GO:0036503	wdr77_down	ERAD pathway	0.00256	2.11
GO:0051234	wdr77_down	establishment of localization	0.00302	1.14
GO:0090181	wdr77_down	regulation of cholesterol metabolic process	0.003	2.39
GO:0051603	wdr77_down	proteolysis involved in cellular protein catabolic process	0.00397	1.38
GO:0030433	wdr77_down	ubiquitin-dependent ERAD pathway	0.00388	2.17
GO:0080090	wdr77_down	regulation of primary metabolic process	0.0046	1.1
GO:0050896	wdr77_down	response to stimulus	0.00444	1.12
GO:0065009	wdr77_down	regulation of molecular function	0.0043	1.16
GO:0016236	wdr77_down	macroautophagy	0.00426	1.89
GO:0045540	wdr77_down	regulation of cholesterol biosynthetic process	0.00497	2.51
GO:0106118	wdr77_down	regulation of sterol biosynthetic process	0.00481	2.51
GO:0062012	wdr77_down	regulation of small molecule metabolic process	0.00525	1.45
GO:0051179	wdr77_down	localization	0.00535	1.12
GO:0019216	wdr77_down	regulation of lipid metabolic process	0.00585	1.48
GO:0050810	wdr77_down	regulation of steroid biosynthetic process	0.00758	2.06
GO:0070887	wdr77_down	cellular response to chemical stimulus	0.00808	1.23
GO:0019941	wdr77_down	modification-dependent protein catabolic process	0.00919	1.38
GO:0048260	wdr77_down	positive regulation of receptor-mediated endocytosis	0.01	2.45
GO:0019218	wdr77_down	regulation of steroid metabolic process	0.0107	1.91
GO:0006511	wdr77_down	ubiquitin-dependent protein catabolic process	0.0108	1.38
GO:0006629	wdr77_down	lipid metabolic process	0.0113	1.27
GO:0019222	wdr77_down	regulation of metabolic process	0.0112	1.09
GO:0031323	wdr77_down	regulation of cellular metabolic process	0.0114	1.09
GO:1905897	wdr77_down	regulation of response to endoplasmic reticulum stress	0.013	1.94
GO:0019217	wdr77_down	regulation of fatty acid metabolic process	0.0204	2.03
GO:0051049	wdr77_down	regulation of transport	0.0213	1.21
GO:0030001	wdr77_down	metal ion transport	0.0215	1.4
GO:0043632	wdr77_down	modification-dependent macromolecule catabolic process	0.0213	1.35
GO:1902992	wdr77_down	negative regulation of amyloid precursor protein catabolic process	0.0233	3.02
GO:0006811	wdr77_down	ion transport	0.0309	1.26
GO:0006950	wdr77_down	response to stress	0.0343	1.14
GO:0006066	wdr77_down	alcohol metabolic process	0.0368	1.49
GO:0050801	wdr77_down	ion homeostasis	0.0365	1.34
GO:0008610	wdr77_down	lipid biosynthetic process	0.0398	1.35
GO:0030003	wdr77_down	cellular cation homeostasis	0.0422	1.38
GO:1905037	wdr77_down	autophagosome organization	0.048	2.07
GO:1901615	wdr77_down	organic hydroxy compound metabolic process	0.0491	1.4
GO:0016192	wdr77_down	vesicle-mediated transport	0.0484	1.19
GO:0006914	wdr77_down	autophagy	0.0482	1.49
GO:0061919	wdr77_down	process utilizing autophagic mechanism	0.0474	1.49
GO:0000045	wdr77_down	autophagosome assembly	0.0474	2.1
GO:0019538	wdr77_down	protein metabolic process	0.0517	1.11
GO:0032879	wdr77_down	regulation of localization	0.0517	1.15
GO:1903573	wdr77_down	negative regulation of response to endoplasmic reticulum stress	0.0511	2.17
GO:0030968	wdr77_down	endoplasmic reticulum unfolded protein response	0.0513	1.78
GO:0051171	wdr77_down	regulation of nitrogen compound metabolic process	0.0506	1.08
GO:0098780	wdr77_down	response to mitochondrial depolarisation	0.0521	2.92
GO:0071310	wdr77_down	cellular response to organic substance	0.0518	1.22
GO:0042304	wdr77_down	regulation of fatty acid biosynthetic process	0.0517	2.39
GO:0071702	wdr77_down	organic substance transport	0.0516	1.16
GO:0044255	wdr77_down	cellular lipid metabolic process	0.0548	1.26
GO:0006873	wdr77_down	cellular ion homeostasis	0.0558	1.36
GO:0010565	wdr77_down	regulation of cellular ketone metabolic process	0.0569	1.6
GO:0033554	wdr77_down	cellular response to stress	0.0578	1.17
GO:1902930	wdr77_down	regulation of alcohol biosynthetic process	0.063	1.98
GO:0031100	wdr77_down	animal organ regeneration	0.0621	1.98
GO:0008286	wdr77_down	insulin receptor signaling pathway	0.0623	1.85
GO:0055088	wdr77_down	lipid homeostasis	0.0631	1.7
GO:1903008	wdr77_down	organelle disassembly	0.0652	1.91
GO:0046942	wdr77_down	carboxylic acid transport	0.0646	1.51
GO:1902430	wdr77_down	negative regulation of amyloid-beta formation	0.0649	2.98
GO:0071407	wdr77_down	cellular response to organic cyclic compound	0.0647	1.43
GO:0023057	wdr77_down	negative regulation of signaling	0.0694	1.2
GO:1900223	wdr77_down	positive regulation of amyloid-beta clearance	0.0688	4.77
GO:0015849	wdr77_down	organic acid transport	0.0708	1.5
GO:1901564	wdr77_down	organonitrogen compound metabolic process	0.0704	1.09
GO:0035966	wdr77_down	response to topologically incorrect protein	0.0699	1.87
GO:0014070	wdr77_down	response to organic cyclic compound	0.0727	1.3
GO:0044093	wdr77_down	positive regulation of molecular function	0.0725	1.17
GO:0010648	wdr77_down	negative regulation of cell communication	0.0743	1.2
GO:0006812	wdr77_down	cation transport	0.077	1.3
GO:0030163	wdr77_down	protein catabolic process	0.08	1.33
GO:0032868	wdr77_down	response to insulin	0.0841	1.62
GO:0065007	wdr77_down	biological regulation	0.0836	1.04
GO:0000422	wdr77_down	autophagy of mitochondrion	0.0862	2.19
GO:0061726	wdr77_down	mitochondrion disassembly	0.0853	2.19
GO:0055080	wdr77_down	cation homeostasis	0.086	1.32
GO:0043412	wdr77_down	macromolecule modification	0.0854	1.11
GO:0046320	wdr77_down	regulation of fatty acid oxidation	0.0849	2.48
GO:0036498	wdr77_down	IRE1-mediated unfolded protein response	0.0864	2
GO:1901652	wdr77_down	response to peptide	0.0862	1.4
GO:0006826	wdr77_down	iron ion transport	0.0928	2.03
GO:1901568	wdr77_down	fatty acid derivative metabolic process	0.0944	1.63
GO:0006464	wdr77_down	cellular protein modification process	0.094	1.11
GO:0036211	wdr77_down	protein modification process	0.0931	1.11
GO:0043434	wdr77_down	response to peptide hormone	0.0933	1.45
GO:0043393	wdr77_down	regulation of protein binding	0.0926	1.51
GO:0055092	wdr77_down	sterol homeostasis	0.0986	1.94
GO:0061077	wdr77_down	chaperone-mediated protein folding	0.0977	1.94
GO:0071345	wdr77_down	cellular response to cytokine stimulus	0.0984	1.38
GO:0098771	wdr77_down	inorganic ion homeostasis	0.0986	1.31
GO:1900221	wdr77_down	regulation of amyloid-beta clearance	0.103	3.18
GO:0050909	wdr77_down	sensory perception of taste	0.102	3.18
GO:0080134	wdr77_down	regulation of response to stress	0.101	1.18
GO:0032368	wdr77_down	regulation of lipid transport	0.101	1.78
GO:0009719	wdr77_down	response to endogenous stimulus	0.109	1.23
GO:0032091	wdr77_down	negative regulation of protein binding	0.111	1.75
GO:0007606	wdr77_down	sensory perception of chemical stimulus	0.115	2.39
GO:0048583	wdr77_down	regulation of response to stimulus	0.12	1.1
